ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Total,Male,Female,T_00_04,T_05_09,T_10_14,T_15_17,T_18_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65plus,M_00_04,M_05_09,M_10_14,M_15_17,M_18_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65plus,F_00_04,F_05_09,F_10_14,F_15_17,F_18_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65plus
North Western,ET0101,Tigray,ET01,Ethiopia,ET,923343.00,459592.00,463751.00,123489.00,131769.00,138330.00,77806.00,29147.00,78029.00,61006.00,47921.00,49308.00,37250.00,34691.00,28275.00,21813.00,16570.00,47938.00,64905.00,69258.00,70983.00,39332.00,14733.00,39329.00,28207.00,23158.00,20138.00,18384.00,14362.00,13187.00,10688.00,8067.00,24849.00,58584.00,62509.00,67348.00,38476.00,14413.00,38696.00,32800.00,24762.00,29175.00,18864.00,20331.00,15088.00,11121.00,8505.00,23087.00
Central,ET0102,Tigray,ET01,Ethiopia,ET,1481017.00,727200.00,753816.00,198013.00,211287.00,221829.00,124726.00,46719.00,124947.00,97812.00,76876.00,79375.00,59761.00,55853.00,45437.00,34963.00,26572.00,76840.00,102647.00,109527.00,112214.00,62279.00,23330.00,62238.00,44730.00,36717.00,31920.00,29078.00,22729.00,20849.00,16903.00,12750.00,39284.00,95367.00,101758.00,109613.00,62442.00,23390.00,62709.00,53079.00,40158.00,47453.00,30685.00,33122.00,24588.00,18059.00,13824.00,37557.00
Eastern,ET0103,Tigray,ET01,Ethiopia,ET,1048223.00,500832.00,547392.00,138524.00,147808.00,154917.00,89293.00,33449.00,89636.00,71850.00,55782.00,56889.00,42061.00,39268.00,31609.00,24661.00,18647.00,53827.00,70111.00,74810.00,76171.00,43392.00,16254.00,42954.00,31917.00,26107.00,22629.00,19899.00,15689.00,14138.00,11458.00,8604.00,26696.00,68414.00,72998.00,78747.00,45902.00,17194.00,46682.00,39937.00,29674.00,34259.00,22162.00,23579.00,17468.00,13201.00,10041.00,27130.00
Southern,ET0104,Tigray,ET01,Ethiopia,ET,793136.00,390086.00,403052.00,105211.00,112263.00,117615.00,67426.00,25256.00,67609.00,53862.00,41980.00,42801.00,31854.00,29663.00,23974.00,18654.00,14120.00,40843.00,54685.00,58353.00,59479.00,33730.00,12634.00,33445.00,24708.00,20224.00,17538.00,15514.00,12215.00,11044.00,8950.00,6724.00,20840.00,50527.00,53913.00,58136.00,33696.00,12623.00,34167.00,29153.00,21758.00,25263.00,16343.00,17448.00,12932.00,9706.00,7394.00,20003.00
Western,ET0105,Tigray,ET01,Ethiopia,ET,467890.00,241190.00,226699.00,61853.00,65999.00,68892.00,40100.00,15023.00,40141.00,32356.00,25149.00,25263.00,18711.00,17293.00,13944.00,10940.00,8253.00,23972.00,33588.00,35840.00,36348.00,21046.00,7885.00,20716.00,15700.00,12814.00,11090.00,9542.00,7569.00,6741.00,5463.00,4091.00,12752.00,28264.00,30157.00,32543.00,19057.00,7137.00,19427.00,16653.00,12334.00,14174.00,9170.00,9727.00,7201.00,5472.00,4161.00,11222.00
South Eastern,ET0106,Tigray,ET01,Ethiopia,ET,451059.00,223168.00,227893.00,61721.00,65859.00,69490.00,36961.00,13844.00,36850.00,27333.00,22111.00,23713.00,18443.00,17416.00,14425.00,10739.00,8256.00,23901.00,32068.00,34217.00,35518.00,18629.00,6977.00,19011.00,12648.00,10474.00,9170.00,9053.00,6940.00,6613.00,5362.00,4083.00,12404.00,29652.00,31642.00,33975.00,18332.00,6868.00,17838.00,14687.00,11635.00,14541.00,9393.00,10476.00,7814.00,5376.00,4174.00,11494.00
Mekelle,ET0107,Tigray,ET01,Ethiopia,ET,520930.00,263498.00,257432.00,61155.00,65255.00,66068.00,50315.00,18847.00,51232.00,49501.00,35201.00,30685.00,19500.00,17009.00,12298.00,11654.00,8258.00,23952.00,33498.00,35743.00,33617.00,25725.00,9636.00,23128.00,23241.00,18473.00,15638.00,9706.00,8461.00,6169.00,4987.00,3509.00,11967.00,27658.00,29512.00,32451.00,24589.00,9211.00,28105.00,26260.00,16727.00,15046.00,9794.00,8547.00,6129.00,6667.00,4749.00,11984.00
Awsi /Zone 1,ET0201,Afar,ET02,Ethiopia,ET,691336.00,368984.00,322352.00,110104.00,117486.00,87730.00,52707.00,19743.00,60471.00,58886.00,43601.00,38925.00,28669.00,20721.00,16215.00,10989.00,8029.00,17058.00,60460.00,64511.00,48208.00,29841.00,11177.00,27268.00,26345.00,21817.00,21120.00,17042.00,11535.00,8055.00,6805.00,4823.00,9971.00,49643.00,52970.00,39521.00,22864.00,8565.00,33200.00,32542.00,21783.00,17809.00,11627.00,9184.00,8159.00,4186.00,3208.00,7086.00
Kilbati /Zone2,ET0202,Afar,ET02,Ethiopia,ET,513987.00,280566.00,233423.00,85884.00,91642.00,69023.00,39551.00,14815.00,41238.00,38718.00,31556.00,26870.00,20483.00,15617.00,11661.00,8303.00,5768.00,12860.00,47672.00,50871.00,39157.00,23355.00,8747.00,20144.00,16542.00,15856.00,14142.00,12353.00,8749.00,6224.00,5275.00,3334.00,8143.00,38210.00,40769.00,29868.00,16195.00,6066.00,21094.00,22175.00,15701.00,12728.00,8129.00,6866.00,5440.00,3026.00,2434.00,4715.00
Gabi /Zone 3,ET0203,Afar,ET02,Ethiopia,ET,308903.00,165422.00,143481.00,47685.00,50881.00,37731.00,23417.00,8772.00,28323.00,28219.00,19801.00,18234.00,13167.00,9192.00,7376.00,4875.00,3685.00,7548.00,26414.00,28184.00,20595.00,13108.00,4911.00,12467.00,13228.00,10079.00,10247.00,7885.00,5181.00,3572.00,3011.00,2298.00,4242.00,21270.00,22696.00,17137.00,10309.00,3861.00,15854.00,14994.00,9723.00,7984.00,5281.00,4009.00,3803.00,1863.00,1387.00,3307.00
Fanti /Zone 4,ET0204,Afar,ET02,Ethiopia,ET,284032.00,157408.00,126623.00,48455.00,51704.00,39185.00,22016.00,8247.00,21958.00,19969.00,17176.00,14225.00,11099.00,8671.00,6373.00,4632.00,3113.00,7211.00,27262.00,29089.00,22726.00,13304.00,4984.00,11122.00,8224.00,8673.00,7354.00,6749.00,4903.00,3520.00,2990.00,1770.00,4739.00,21192.00,22614.00,16460.00,8713.00,3264.00,10836.00,11744.00,8504.00,6872.00,4347.00,3769.00,2854.00,1642.00,1343.00,2473.00
Hari /Zone 5,ET0205,Afar,ET02,Ethiopia,ET,217089.00,121230.00,95859.00,36484.00,38929.00,29398.00,16775.00,6285.00,17225.00,15970.00,13248.00,11203.00,8625.00,6608.00,4913.00,3530.00,2420.00,5479.00,20714.00,22103.00,17089.00,10135.00,3798.00,8663.00,6910.00,6800.00,5982.00,5299.00,3779.00,2695.00,2286.00,1419.00,3555.00,15768.00,16826.00,12307.00,6640.00,2486.00,8563.00,9059.00,6446.00,5221.00,3329.00,2826.00,2217.00,1244.00,1002.00,1923.00
North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,923903.00,462598.00,461308.00,115181.00,122903.00,131218.00,76011.00,28473.00,72707.00,73060.00,50485.00,52284.00,37616.00,36437.00,30284.00,24871.00,22757.00,49616.00,59102.00,63066.00,68547.00,39332.00,14734.00,35047.00,35057.00,24580.00,23394.00,19337.00,17351.00,13567.00,12389.00,11154.00,25942.00,56076.00,59836.00,62673.00,36678.00,13741.00,37661.00,38001.00,25903.00,28890.00,18281.00,19088.00,16716.00,12483.00,11604.00,23674.00
South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2626276.00,1328068.00,1298208.00,327010.00,348932.00,372269.00,216146.00,80969.00,207399.00,208715.00,144081.00,148705.00,106997.00,103491.00,85911.00,70503.00,64483.00,140668.00,169173.00,180508.00,195874.00,112939.00,42306.00,101452.00,101796.00,71193.00,67404.00,55543.00,49774.00,38857.00,35374.00,31825.00,74043.00,157841.00,168421.00,176397.00,103205.00,38661.00,105946.00,106925.00,72891.00,81303.00,51454.00,53717.00,47049.00,35131.00,32655.00,66624.00
North Wello,ET0303,Amhara,ET03,Ethiopia,ET,1812677.00,908149.00,904528.00,224750.00,239817.00,255769.00,149487.00,55995.00,144592.00,145487.00,100045.00,102888.00,73793.00,71357.00,59146.00,48491.00,44307.00,96750.00,115338.00,123068.00,133317.00,77245.00,28937.00,69944.00,70390.00,49101.00,46255.00,38003.00,34010.00,26509.00,24061.00,21632.00,50339.00,109414.00,116750.00,122452.00,72240.00,27061.00,74648.00,75093.00,50945.00,56633.00,35786.00,37344.00,32638.00,24430.00,22673.00,46410.00
South Wello,ET0304,Amhara,ET03,Ethiopia,ET,3392048.00,1680307.00,1711738.00,418107.00,446132.00,475609.00,280542.00,105091.00,274327.00,275939.00,188756.00,193147.00,137940.00,133323.00,110275.00,90290.00,82388.00,180181.00,212513.00,226760.00,245069.00,142962.00,53554.00,130887.00,132257.00,91935.00,86010.00,70378.00,62865.00,48891.00,44178.00,39679.00,92378.00,205593.00,219375.00,230547.00,137579.00,51536.00,143439.00,143680.00,96817.00,107142.00,67561.00,70459.00,61383.00,46112.00,42706.00,87805.00
