ADM3_PCODE,ADM3_EN,admin3AltName1_en,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Total,Male,Female,T_00_04,T_05_09,T_10_14,T_15_17,T_18_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65plus,M_00_04,M_05_09,M_10_14,M_15_17,M_18_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65plus,F_00_04,F_05_09,F_10_14,F_15_17,F_18_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65plus
ET010101,Tahtay Adiyabo,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,77333.00,38966.00,38367.00,10567.00,11276.00,11895.00,6355.00,2381.00,6354.00,4721.00,3804.00,4045.00,3158.00,2963.00,2459.00,1843.00,1415.00,4096.00,5598.00,5973.00,6199.00,3254.00,1218.00,3319.00,2211.00,1830.00,1603.00,1580.00,1212.00,1153.00,935.00,713.00,2165.00,4970.00,5302.00,5697.00,3101.00,1162.00,3035.00,2510.00,1973.00,2442.00,1578.00,1751.00,1305.00,908.00,703.00,1931.00
ET010102,Laelay Adiabo,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,37017.00,18280.00,18737.00,5056.00,5395.00,5693.00,3039.00,1138.00,3036.00,2258.00,1821.00,1945.00,1512.00,1425.00,1180.00,882.00,678.00,1959.00,2626.00,2803.00,2909.00,1526.00,572.00,1557.00,1037.00,859.00,752.00,741.00,568.00,541.00,439.00,335.00,1016.00,2430.00,2592.00,2784.00,1513.00,567.00,1478.00,1222.00,962.00,1193.00,771.00,857.00,639.00,443.00,343.00,944.00
ET010103,Zana,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,69755.00,34341.00,35415.00,9492.00,10128.00,10679.00,5752.00,2155.00,5748.00,4317.00,3464.00,3680.00,2844.00,2677.00,2209.00,1659.00,1272.00,3679.00,4919.00,5248.00,5435.00,2880.00,1078.00,2928.00,1976.00,1634.00,1428.00,1389.00,1069.00,1012.00,820.00,623.00,1899.00,4573.00,4879.00,5244.00,2872.00,1076.00,2820.00,2340.00,1830.00,2251.00,1455.00,1608.00,1198.00,839.00,649.00,1780.00
ET010104,Tahtay Koraro,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,91466.00,45313.00,46153.00,12702.00,13554.00,14350.00,7357.00,2756.00,7314.00,5216.00,4309.00,4746.00,3772.00,3587.00,3003.00,2191.00,1697.00,4913.00,6590.00,7031.00,7361.00,3716.00,1391.00,3848.00,2420.00,2017.00,1777.00,1855.00,1405.00,1371.00,1112.00,852.00,2567.00,6113.00,6523.00,6989.00,3641.00,1364.00,3466.00,2796.00,2291.00,2970.00,1916.00,2182.00,1632.00,1078.00,845.00,2346.00
ET010105,Asgede,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,104408.00,52698.00,51710.00,14269.00,15226.00,16058.00,8580.00,3214.00,8572.00,6372.00,5138.00,5466.00,4263.00,4003.00,3320.00,2487.00,1909.00,5529.00,7565.00,8073.00,8375.00,4405.00,1650.00,4490.00,3000.00,2483.00,2173.00,2136.00,1639.00,1558.00,1263.00,962.00,2925.00,6704.00,7153.00,7683.00,4176.00,1564.00,4081.00,3374.00,2655.00,3293.00,2128.00,2363.00,1762.00,1222.00,947.00,2604.00
ET010106,Tselemti,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,128533.00,64486.00,64046.00,17611.00,18791.00,19829.00,10526.00,3943.00,10502.00,7762.00,6284.00,6728.00,5257.00,4951.00,4110.00,3063.00,2355.00,6820.00,9275.00,9897.00,10279.00,5375.00,2014.00,5492.00,3639.00,3016.00,2641.00,2617.00,2005.00,1913.00,1551.00,1182.00,3589.00,8336.00,8895.00,9550.00,5150.00,1930.00,5009.00,4123.00,3269.00,4087.00,2639.00,2946.00,2197.00,1511.00,1173.00,3231.00
ET010107,Sheraro town,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,35198.00,17592.00,17606.00,4060.00,4332.00,4370.00,3450.00,1292.00,3526.00,3468.00,2441.00,2094.00,1306.00,1128.00,802.00,784.00,551.00,1595.00,2209.00,2357.00,2191.00,1742.00,652.00,1549.00,1605.00,1272.00,1075.00,641.00,566.00,402.00,324.00,226.00,782.00,1851.00,1975.00,2178.00,1709.00,641.00,1977.00,1863.00,1169.00,1020.00,664.00,561.00,400.00,460.00,325.00,812.00
ET010108,Indasilassie town,Shire Indasilassie Town,North Western,ET0101,Tigray,ET01,Ethiopia,ET,94959.00,45891.00,49067.00,10865.00,11594.00,11712.00,9345.00,3501.00,9598.00,9474.00,6628.00,5662.00,3516.00,3027.00,2140.00,2125.00,1489.00,4285.00,5739.00,6124.00,5674.00,4562.00,1709.00,4043.00,4229.00,3350.00,2828.00,1669.00,1479.00,1039.00,840.00,582.00,2026.00,5126.00,5470.00,6038.00,4784.00,1791.00,5554.00,5246.00,3277.00,2834.00,1846.00,1548.00,1101.00,1285.00,906.00,2259.00
ET010109,Selekleka,Laelay Koraro,North Western,ET0101,Tigray,ET01,Ethiopia,ET,69507.00,34207.00,35300.00,9458.00,10092.00,10641.00,5732.00,2147.00,5728.00,4301.00,3451.00,3667.00,2834.00,2668.00,2201.00,1653.00,1268.00,3666.00,4899.00,5228.00,5414.00,2869.00,1075.00,2917.00,1968.00,1627.00,1423.00,1384.00,1065.00,1007.00,817.00,621.00,1892.00,4558.00,4863.00,5227.00,2863.00,1072.00,2811.00,2333.00,1824.00,2244.00,1450.00,1603.00,1194.00,836.00,647.00,1774.00
ET010110,Seyemti Adyabo,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,54741.00,27033.00,27708.00,7475.00,7977.00,8417.00,4495.00,1684.00,4490.00,3342.00,2693.00,2877.00,2236.00,2107.00,1744.00,1304.00,1002.00,2897.00,3883.00,4143.00,4300.00,2257.00,846.00,2303.00,1534.00,1271.00,1113.00,1096.00,841.00,801.00,649.00,494.00,1502.00,3592.00,3833.00,4117.00,2237.00,839.00,2187.00,1808.00,1423.00,1765.00,1140.00,1267.00,944.00,655.00,508.00,1395.00
